ref_date,value,publication_date
2013-02-01,3.6,2013-07-01
2013-03-01,3.7,2013-07-01
2013-04-01,3.5,2013-08-01
2013-05-01,3.4,2013-09-03
2013-06-01,3.4,2013-11-01
2013-07-01,3.6,2013-11-01
2013-08-01,3.5,2013-12-02
2013-09-01,3.4,2014-01-07
2013-10-01,3.3,2014-02-03
2013-11-01,3.5,2014-03-11
2013-12-01,3.6,2014-03-11
2014-01-01,3.5,2014-11-03
2014-02-01,3.5,2014-11-03
2014-03-01,3.4,2014-11-03
2014-04-01,3.4,2014-11-03
2014-05-01,3.2,2014-11-03
2014-06-01,3.3,2014-11-03
2014-07-01,3.4,2014-11-03
2014-08-01,3.7,2014-12-01
2014-09-01,3.7,2014-12-01
2014-10-01,3.8,2015-02-03
2014-11-01,3.7,2015-02-03
2014-12-01,3.7,2015-04-01
2015-01-01,3.9,2015-05-01
2015-02-01,4.1,2015-06-01
2015-03-01,4.1,2015-06-01
2015-04-01,4.2,2015-07-01
2015-05-01,4.3,2015-08-03
2015-06-01,4.5,2015-09-01
2015-07-01,4.3,2015-10-01
2015-08-01,4.6,2015-11-02
2015-09-01,4.6,2015-12-01
2015-10-01,4.6,2016-01-04
2015-11-01,4.6,2016-03-01
2015-12-01,4.5,2016-03-01
2016-01-01,4.8,2016-04-01
2016-02-01,4.6,2016-05-02
2016-03-01,4.7,2016-06-01
2016-04-01,4.6,2016-07-01
2016-05-01,4.7,2016-08-01
2016-06-01,4.8,2016-09-01
2016-07-01,5.0,2016-10-03
2016-08-01,4.9,2016-11-01
2016-09-01,4.8,2016-12-01
2016-10-01,4.8,2017-01-03
2016-11-01,4.7,2017-02-01
2016-12-01,4.4,2017-03-01
2017-01-01,4.2,2017-04-03
2017-02-01,4.3,2017-05-01
2017-03-01,4.5,2017-07-03
2017-04-01,4.6,2017-07-03
2017-05-01,4.3,2017-09-01
2017-06-01,4.3,2017-09-01
2017-07-01,4.2,2017-10-02
2017-08-01,4.1,2017-11-01
2017-09-01,4.0,2017-12-01
2017-10-01,4.0,2018-01-02
2017-11-01,4.1,2018-03-09
2017-12-01,4.1,2018-03-09
2018-01-01,4.0,2018-04-04
2018-02-01,3.9,2018-05-03
2018-03-01,3.9,2018-06-01
2018-04-01,3.7,2018-07-02
2018-05-01,3.8,2018-08-02
2018-06-01,3.9,2018-09-04
2018-07-01,4.0,2018-10-09
2018-08-01,4.0,2018-11-13
2018-09-01,4.0,2018-12-17
2018-10-01,4.0,2019-01-15
2018-11-01,3.8,2019-02-13
2018-12-01,3.7,2019-03-13
2019-01-01,3.9,2019-04-11
2019-02-01,3.8,2019-06-14
2019-03-01,3.5,2019-06-14
2019-04-01,3.2,2019-07-11
2019-05-01,3.4,2019-08-12
2019-06-01,3.6,2019-09-11
2019-07-01,3.8,2019-10-09
2019-08-01,3.7,2020-01-15
2019-09-01,3.9,2020-01-15
2019-10-01,3.8,2020-01-15
2019-11-01,4.0,2020-02-12
2019-12-01,3.9,2020-03-11
2020-01-01,3.8,2020-04-11
2020-02-01,3.5,2020-05-14
2020-03-01,3.6,2020-06-11
2020-04-01,4.1,2020-07-10
2020-05-01,4.6,2020-08-11
2020-06-01,5.2,2020-09-10
2020-07-01,5.2,2020-10-09
2020-08-01,5.3,2020-11-10
2020-09-01,5.2,2020-12-09
2020-10-01,5.2,2021-01-19
2020-11-01,5.0,2021-02-12
2020-12-01,4.8,2021-10-13
2021-01-01,4.8,2021-10-13
2021-02-01,4.6,2021-10-13
2021-03-01,4.7,2021-10-13
2021-04-01,4.8,2021-10-13
2021-05-01,4.9,2021-10-13
2021-06-01,4.8,2021-10-13
2021-07-01,4.2,2021-10-13
2021-08-01,4.0,2021-11-11
2021-09-01,3.6,2021-12-10
2021-10-01,3.6,2022-01-18
2021-11-01,3.5,2022-02-11
2021-12-01,3.3,2022-03-10
2022-01-01,3.2,2022-04-14
2022-02-01,3.1,2022-05-11
2022-03-01,2.9,2022-06-14
2022-04-01,2.7,2022-07-13
2022-05-01,3.7,2022-07-13
2022-06-01,3.0,2022-08-10
2022-07-01,2.9,2022-09-14
2022-08-01,3.5,2022-11-11
2022-09-01,3.4,2022-11-11
2022-10-01,3.3,2022-12-10
2022-11-01,3.1,2023-02-13
2022-12-01,3.4,2023-02-13
2023-01-01,3.7,2023-03-09
2023-02-01,3.9,2023-04-07
2023-03-01,3.7,2023-05-10
2023-04-01,3.4,2023-06-13
2023-05-01,3.0,2023-07-07
2023-06-01,3.4,2023-08-10
2023-07-01,3.5,2023-09-09
2023-08-01,3.6,2023-10-07
2023-09-01,3.5,2023-11-10
2023-10-01,3.6,2023-12-09
2023-11-01,3.7,2024-01-11
2023-12-01,3.5,2024-04-10
2024-01-01,4.5,2024-04-10
2024-02-01,3.6,2024-04-10
2024-03-01,3.9,2024-05-15
2024-04-01,4.3,2024-06-17
2024-05-01,4.1,2024-07-15
2024-06-01,4.1,2024-08-15
2024-07-01,3.9,2024-09-16
2024-08-01,4.0,2024-10-15
2024-09-01,4.0,2024-11-15
2024-10-01,4.1,2024-12-16
2024-11-01,3.7,2025-01-15
2024-12-01,4.2,2025-02-17
2025-01-01,3.7,2025-03-17
2025-02-01,3.8,2025-04-15
2025-03-01,4.4,2025-05-15
2025-04-01,4.3,2025-06-16
2025-05-01,4.6,2025-07-15
2025-06-01,5.4,2025-08-15
2025-07-01,4.5,2025-09-15
2025-08-01,4.9,2025-10-15
2025-09-01,4.8,2025-11-17
2025-10-01,4.5,2025-12-15
2025-11-01,4.5,2026-01-15
2025-12-01,4.3,2026-02-16
2026-01-01,4.6,2026-03-16
2026-02-01,4.9,2026-05-15
2026-03-01,4.9,2026-05-15
2026-04-01,4.6,2026-06-15
2026-05-01,4.4,2026-07-16
