ref_date,value,publication_date
2013-04-01,8.4,2013-07-01
2013-05-01,7.9,2013-08-01
2013-06-01,8.0,2013-08-21
2013-07-01,7.8,2013-09-03
2013-08-01,8.0,2013-11-01
2013-09-01,8.0,2013-12-02
2013-10-01,7.9,2014-01-07
2013-11-01,8.0,2014-02-03
2013-12-01,8.0,2014-02-03
2014-01-01,8.2,2014-11-03
2014-02-01,8.1,2014-11-03
2014-03-01,8.0,2014-11-03
2014-04-01,8.1,2014-11-03
2014-05-01,7.8,2014-11-03
2014-06-01,8.0,2014-11-03
2014-07-01,7.8,2014-11-03
2014-08-01,8.0,2014-11-03
2014-09-01,7.8,2014-12-01
2014-10-01,8.1,2014-12-01
2014-11-01,7.8,2015-02-03
2014-12-01,7.6,2015-02-03
2015-01-01,7.9,2015-04-01
2015-02-01,7.9,2015-05-01
2015-03-01,7.6,2015-06-01
2015-04-01,7.8,2015-06-01
2015-05-01,7.8,2015-07-01
2015-06-01,7.4,2015-08-03
2015-07-01,7.3,2015-09-01
2015-08-01,7.0,2015-10-01
2015-09-01,7.3,2015-11-02
2015-10-01,7.2,2015-12-01
2015-11-01,6.8,2016-01-04
2015-12-01,7.2,2016-02-01
2016-01-01,7.0,2016-03-01
2016-02-01,7.1,2016-04-01
2016-03-01,7.2,2016-05-02
2016-04-01,6.7,2016-06-01
2016-05-01,7.2,2016-07-01
2016-06-01,6.6,2016-08-01
2016-07-01,7.0,2016-09-01
2016-08-01,7.2,2016-10-03
2016-09-01,6.7,2016-11-01
2016-10-01,6.9,2016-12-01
2016-11-01,6.8,2017-01-03
2016-12-01,6.9,2017-02-01
2017-01-01,6.8,2017-03-01
2017-02-01,6.8,2017-04-03
2017-03-01,6.4,2017-05-01
2017-04-01,6.7,2017-07-03
2017-05-01,6.7,2017-07-03
2017-06-01,6.5,2017-09-01
2017-07-01,7.1,2017-09-01
2017-08-01,6.6,2017-10-02
2017-09-01,6.8,2017-11-01
2017-10-01,6.7,2017-12-01
2017-11-01,6.4,2018-01-02
2017-12-01,6.5,2018-03-09
2018-01-01,6.5,2018-03-09
2018-02-01,5.9,2018-04-04
2018-03-01,6.2,2018-05-03
2018-04-01,6.3,2018-06-01
2018-05-01,6.1,2018-07-02
2018-06-01,6.3,2018-08-02
2018-07-01,6.4,2018-09-04
2018-08-01,6.6,2018-10-09
2018-09-01,6.5,2018-11-13
2018-10-01,6.0,2018-12-17
2018-11-01,6.1,2019-01-15
2018-12-01,6.4,2019-02-13
2019-01-01,6.0,2019-03-13
2019-02-01,6.2,2019-04-11
2019-03-01,6.7,2019-05-22
2019-04-01,5.9,2019-06-14
2019-05-01,6.4,2019-07-11
2019-06-01,6.6,2019-08-12
2019-07-01,7.1,2019-09-11
2019-08-01,7.4,2019-10-09
2019-09-01,6.7,2020-01-15
2019-10-01,6.6,2020-01-15
2019-11-01,7.3,2020-01-15
2019-12-01,6.6,2020-02-12
2020-01-01,7.1,2020-03-11
2020-02-01,7.6,2020-04-11
2020-03-01,6.7,2020-05-14
2020-04-01,7.9,2020-06-11
2020-05-01,8.5,2020-07-10
2020-06-01,9.2,2020-08-11
2020-07-01,9.2,2020-09-10
2020-08-01,9.1,2020-10-09
2020-09-01,9.0,2020-11-10
2020-10-01,8.6,2020-12-09
2020-11-01,8.3,2021-01-19
2020-12-01,8.7,2021-02-12
2021-01-01,8.9,2021-03-10
2021-02-01,8.9,2021-04-14
2021-03-01,9.5,2021-05-12
2021-04-01,9.1,2021-06-10
2021-05-01,9.1,2021-07-13
2021-06-01,9.5,2021-08-12
2021-07-01,8.4,2021-10-13
2021-08-01,8.8,2021-10-13
2021-09-01,8.8,2021-11-11
2021-10-01,8.5,2021-12-10
2021-11-01,8.3,2022-01-18
2021-12-01,8.0,2022-02-11
2022-01-01,8.1,2022-03-10
2022-02-01,7.3,2022-04-14
2022-03-01,7.6,2022-05-11
2022-04-01,7.7,2022-06-14
2022-05-01,7.8,2022-07-13
2022-06-01,7.7,2022-08-10
2022-07-01,7.0,2022-09-14
2022-08-01,6.9,2022-11-11
2022-09-01,7.0,2022-11-11
2022-10-01,7.7,2022-12-10
2022-11-01,7.2,2023-01-11
2022-12-01,7.5,2023-02-13
2023-01-01,7.3,2023-03-09
2023-02-01,7.6,2023-04-07
2023-03-01,7.2,2023-05-10
2023-04-01,7.1,2023-06-13
2023-05-01,7.1,2023-07-07
2023-06-01,7.9,2023-08-10
